
 displacements (vx,vy,vz) for set TIPMARKER and time  0.4218273E+01

         4  8.398998E-05  1.179292E-02  1.935904E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4294297E+01

         4  8.956889E-05  1.256886E-02  2.070439E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4370320E+01

         4  9.474332E-05  1.317089E-02  2.185832E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4446343E+01

         4  9.960966E-05  1.361605E-02  2.278717E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4522366E+01

         4  1.044210E-04  1.395566E-02  2.342241E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4598389E+01

         4  1.091307E-04  1.419607E-02  2.378888E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4674413E+01

         4  1.135523E-04  1.432833E-02  2.400733E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4750436E+01

         4  1.178159E-04  1.439711E-02  2.414278E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4826459E+01

         4  1.221717E-04  1.447587E-02  2.417634E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4902482E+01

         4  1.266898E-04  1.460251E-02  2.416218E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4978506E+01

         4  1.312104E-04  1.477781E-02  2.423957E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5054529E+01

         4  1.357719E-04  1.503119E-02  2.449229E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5130552E+01

         4  1.406262E-04  1.542362E-02  2.491103E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5206575E+01

         4  1.458270E-04  1.597596E-02  2.550048E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5282599E+01

         4  1.511956E-04  1.666233E-02  2.634298E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5358622E+01

         4  1.566736E-04  1.746842E-02  2.748431E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5434645E+01

         4  1.623967E-04  1.840782E-02  2.885675E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5510668E+01

         4  1.684158E-04  1.947044E-02  3.038988E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5586692E+01

         4  1.745130E-04  2.059689E-02  3.208232E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5662715E+01

         4  1.805342E-04  2.173361E-02  3.392394E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5738738E+01

         4  1.865573E-04  2.286516E-02  3.581635E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5814761E+01

         4  1.926209E-04  2.396968E-02  3.764059E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5890785E+01

         4  1.985483E-04  2.499071E-02  3.936156E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5966808E+01

         4  2.041732E-04  2.587749E-02  4.097226E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.6042831E+01

         4  2.095551E-04  2.662463E-02  4.240217E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.6118854E+01

         4  2.148081E-04  2.724206E-02  4.356641E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.6194878E+01

         4  2.198426E-04  2.771389E-02  4.445959E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.6308912E+01

         4  2.268222E-04  2.814108E-02  4.539097E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.6422947E+01

         4  2.334167E-04  2.833181E-02  4.585766E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.6536982E+01

         4  2.399398E-04  2.841995E-02  4.593447E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.6651017E+01

         4  2.463884E-04  2.849931E-02  4.588326E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.6765052E+01

         4  2.529781E-04  2.870063E-02  4.594035E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.6879087E+01

         4  2.600806E-04  2.916475E-02  4.623750E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.6993122E+01

         4  2.676733E-04  2.993601E-02  4.696289E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.7107157E+01

